# y+ ()       
# Time        	patch         	min           	max           	average       
100           	ball	8.072749e+00	2.404799e+01	1.368688e+01
200           	ball	7.590922e+00	2.351332e+01	1.260864e+01
300           	ball	1.002396e+01	2.525104e+01	2.068274e+01
400           	ball	1.048298e+01	2.513870e+01	1.992885e+01
500           	ball	1.049601e+01	2.468990e+01	1.979788e+01
