# Residuals   
# Time        	Ux            	Uy            	Uz            	p             	k             	epsilon       
349           	3.305771e-04	1.314875e-03	1.344284e-03	3.855543e-02	2.761022e-04	1.636400e-04
350           	3.294391e-04	1.311846e-03	1.337328e-03	3.847507e-02	2.770005e-04	1.633313e-04
351           	3.276244e-04	1.301443e-03	1.328654e-03	3.805231e-02	2.771186e-04	1.629469e-04
352           	3.253445e-04	1.300093e-03	1.309704e-03	3.809203e-02	2.789801e-04	1.643727e-04
353           	3.232445e-04	1.286716e-03	1.307457e-03	3.887555e-02	2.782508e-04	1.657381e-04
354           	3.211624e-04	1.290123e-03	1.291162e-03	3.957949e-02	2.787512e-04	1.662709e-04
355           	3.199159e-04	1.280077e-03	1.281309e-03	3.796203e-02	2.790281e-04	1.665094e-04
356           	3.178687e-04	1.269603e-03	1.267692e-03	3.872352e-02	2.780636e-04	1.668064e-04
357           	3.163303e-04	1.263712e-03	1.263493e-03	3.929638e-02	2.795783e-04	1.676556e-04
358           	3.146844e-04	1.269021e-03	1.276936e-03	3.965880e-02	2.792391e-04	1.716011e-04
359           	3.137834e-04	1.266155e-03	1.268357e-03	3.825877e-02	2.807411e-04	1.717145e-04
360           	3.106304e-04	1.256039e-03	1.270389e-03	3.815559e-02	2.797064e-04	1.737706e-04
361           	3.088840e-04	1.257299e-03	1.254808e-03	3.798478e-02	2.824706e-04	1.750257e-04
362           	3.058644e-04	1.247993e-03	1.258063e-03	3.866627e-02	2.820357e-04	1.773417e-04
363           	3.052732e-04	1.252073e-03	1.256088e-03	3.766030e-02	2.811966e-04	1.773496e-04
364           	3.027012e-04	1.253197e-03	1.261718e-03	3.841971e-02	2.820585e-04	1.777552e-04
365           	3.017411e-04	1.246537e-03	1.246897e-03	3.770316e-02	2.820597e-04	1.770768e-04
366           	2.989381e-04	1.237755e-03	1.245366e-03	3.795205e-02	2.822877e-04	1.771603e-04
367           	3.039446e-04	1.241307e-03	1.243316e-03	3.742174e-02	2.814026e-04	1.776913e-04
368           	3.007269e-04	1.239829e-03	1.234412e-03	3.769924e-02	2.815828e-04	1.764515e-04
369           	2.994533e-04	1.239672e-03	1.225931e-03	3.762623e-02	2.798427e-04	1.775359e-04
370           	2.966458e-04	1.246930e-03	1.229558e-03	3.928346e-02	2.807686e-04	1.769484e-04
371           	2.967731e-04	1.252175e-03	1.235197e-03	3.810952e-02	2.803828e-04	1.783285e-04
372           	2.939508e-04	1.245017e-03	1.228052e-03	3.822537e-02	2.830346e-04	1.793445e-04
373           	2.938937e-04	1.249278e-03	1.226052e-03	3.846834e-02	2.829735e-04	1.837875e-04
374           	2.915636e-04	1.253773e-03	1.228744e-03	3.734925e-02	2.840206e-04	1.850618e-04
375           	2.903477e-04	1.253557e-03	1.228739e-03	3.750397e-02	2.808911e-04	1.876028e-04
376           	2.867755e-04	1.248024e-03	1.219788e-03	3.706739e-02	2.838706e-04	1.874114e-04
377           	2.853680e-04	1.253983e-03	1.223297e-03	3.774577e-02	2.823195e-04	1.900456e-04
378           	2.839399e-04	1.250050e-03	1.234926e-03	3.742574e-02	2.853655e-04	1.890696e-04
379           	2.828607e-04	1.244893e-03	1.241913e-03	3.751599e-02	2.825852e-04	1.928341e-04
380           	2.815045e-04	1.248158e-03	1.233612e-03	3.734012e-02	2.849363e-04	1.936334e-04
381           	2.801267e-04	1.234108e-03	1.226286e-03	3.696614e-02	2.832817e-04	1.913957e-04
382           	2.773452e-04	1.230958e-03	1.224561e-03	3.637123e-02	2.842967e-04	1.886154e-04
383           	2.768551e-04	1.231553e-03	1.241823e-03	3.732738e-02	2.817638e-04	1.899921e-04
384           	2.761572e-04	1.245853e-03	1.242368e-03	3.699353e-02	2.840354e-04	1.879558e-04
385           	2.748987e-04	1.242762e-03	1.239080e-03	3.569105e-02	2.831663e-04	1.871740e-04
386           	2.735433e-04	1.241128e-03	1.243759e-03	3.557807e-02	2.839492e-04	1.886850e-04
387           	2.726952e-04	1.239186e-03	1.243588e-03	3.666481e-02	2.846184e-04	1.884862e-04
388           	2.720839e-04	1.249349e-03	1.255989e-03	3.728990e-02	2.856239e-04	1.898560e-04
389           	2.728139e-04	1.259274e-03	1.249855e-03	3.656446e-02	2.867408e-04	1.868130e-04
390           	2.708404e-04	1.253588e-03	1.250322e-03	3.562868e-02	2.853996e-04	1.857059e-04
391           	2.694687e-04	1.243035e-03	1.240324e-03	3.630987e-02	2.854832e-04	1.832971e-04
392           	2.631343e-04	1.240170e-03	1.233111e-03	3.626384e-02	2.862064e-04	1.857293e-04
393           	2.629673e-04	1.239108e-03	1.230953e-03	3.579318e-02	2.861094e-04	1.828666e-04
394           	2.625506e-04	1.262163e-03	1.243687e-03	3.609845e-02	2.869159e-04	1.850554e-04
395           	2.626796e-04	1.260976e-03	1.252583e-03	3.579765e-02	2.863315e-04	1.836900e-04
396           	2.611523e-04	1.268490e-03	1.253607e-03	3.561855e-02	2.862004e-04	1.856156e-04
397           	2.613052e-04	1.275424e-03	1.262422e-03	3.749401e-02	2.857543e-04	1.840356e-04
398           	2.610312e-04	1.281865e-03	1.268205e-03	3.547164e-02	2.858310e-04	1.857606e-04
399           	2.602747e-04	1.278430e-03	1.268590e-03	3.724473e-02	2.853979e-04	1.853211e-04
400           	2.591868e-04	1.282497e-03	1.280554e-03	3.708617e-02	2.847501e-04	1.895135e-04
401           	2.591840e-04	1.291568e-03	1.282808e-03	3.678647e-02	2.842210e-04	1.891035e-04
402           	2.577620e-04	1.280761e-03	1.279806e-03	3.667805e-02	2.832043e-04	1.893620e-04
403           	2.564747e-04	1.277046e-03	1.270403e-03	3.686341e-02	2.827468e-04	1.901781e-04
404           	2.555040e-04	1.268362e-03	1.278081e-03	3.667160e-02	2.805288e-04	1.886121e-04
405           	2.548905e-04	1.264905e-03	1.269948e-03	3.632220e-02	2.808495e-04	1.872798e-04
406           	2.528665e-04	1.262136e-03	1.262053e-03	3.606166e-02	2.791631e-04	1.861430e-04
407           	2.530406e-04	1.261272e-03	1.254964e-03	3.705600e-02	2.793524e-04	1.857624e-04
408           	2.512299e-04	1.243335e-03	1.260753e-03	3.611429e-02	2.782377e-04	1.870525e-04
409           	2.508667e-04	1.245059e-03	1.249157e-03	3.609704e-02	2.781176e-04	1.872218e-04
410           	2.493304e-04	1.237642e-03	1.246292e-03	3.591341e-02	2.785482e-04	1.864043e-04
411           	2.501379e-04	1.243803e-03	1.244772e-03	3.771133e-02	2.782019e-04	1.854840e-04
412           	2.497182e-04	1.247209e-03	1.256936e-03	3.562845e-02	2.779594e-04	1.862492e-04
413           	2.497632e-04	1.245079e-03	1.249897e-03	3.550133e-02	2.774915e-04	1.855565e-04
414           	2.477954e-04	1.251251e-03	1.252109e-03	3.474648e-02	2.780900e-04	1.871755e-04
415           	2.495084e-04	1.259273e-03	1.261985e-03	3.522412e-02	2.775656e-04	1.902305e-04
416           	2.483569e-04	1.250475e-03	1.263174e-03	3.558425e-02	2.764857e-04	1.893885e-04
417           	2.494107e-04	1.247255e-03	1.267795e-03	3.489459e-02	2.769287e-04	1.909422e-04
418           	2.545988e-04	1.245249e-03	1.257413e-03	3.556954e-02	2.766983e-04	1.882096e-04
419           	2.545376e-04	1.255605e-03	1.265344e-03	3.532452e-02	2.760560e-04	1.886300e-04
420           	2.539255e-04	1.249966e-03	1.262166e-03	3.495269e-02	2.753068e-04	1.872128e-04
421           	2.543096e-04	1.243105e-03	1.274208e-03	3.513617e-02	2.743144e-04	1.877596e-04
422           	2.527755e-04	1.241300e-03	1.265241e-03	3.440948e-02	2.732689e-04	1.878941e-04
423           	2.536414e-04	1.236377e-03	1.270378e-03	3.449631e-02	2.719238e-04	1.882869e-04
424           	2.523030e-04	1.240242e-03	1.263034e-03	3.509459e-02	2.730641e-04	1.893747e-04
425           	2.568851e-04	1.238420e-03	1.269681e-03	3.494386e-02	2.723900e-04	1.896129e-04
426           	2.557091e-04	1.239194e-03	1.268121e-03	3.427650e-02	2.739739e-04	1.897920e-04
427           	2.556167e-04	1.228646e-03	1.256806e-03	3.606316e-02	2.713867e-04	1.879076e-04
428           	2.536298e-04	1.230872e-03	1.258978e-03	3.628831e-02	2.722788e-04	1.884957e-04
429           	2.550641e-04	1.221471e-03	1.254864e-03	3.502848e-02	2.717551e-04	1.874063e-04
430           	2.537880e-04	1.231048e-03	1.246187e-03	3.502558e-02	2.728912e-04	1.865859e-04
431           	2.538664e-04	1.225683e-03	1.246867e-03	3.577303e-02	2.692630e-04	1.862405e-04
432           	2.540872e-04	1.246820e-03	1.257193e-03	3.498984e-02	2.724062e-04	1.881828e-04
433           	2.541938e-04	1.233706e-03	1.252197e-03	3.550257e-02	2.698914e-04	1.861519e-04
434           	2.531826e-04	1.243294e-03	1.259274e-03	3.515992e-02	2.748820e-04	1.886199e-04
435           	2.541454e-04	1.243032e-03	1.266215e-03	3.566651e-02	2.691333e-04	1.883964e-04
436           	2.528326e-04	1.246671e-03	1.264159e-03	3.591587e-02	2.732149e-04	1.903999e-04
437           	2.534168e-04	1.256345e-03	1.283466e-03	3.591143e-02	2.731822e-04	1.908523e-04
438           	2.521351e-04	1.251470e-03	1.281105e-03	3.608153e-02	2.740657e-04	1.915389e-04
439           	2.519301e-04	1.256736e-03	1.285410e-03	3.543060e-02	2.721554e-04	1.908519e-04
440           	2.500127e-04	1.245293e-03	1.276474e-03	3.595155e-02	2.724618e-04	1.915270e-04
441           	2.519217e-04	1.256637e-03	1.310536e-03	3.591701e-02	2.715488e-04	1.909031e-04
442           	2.512549e-04	1.240985e-03	1.292016e-03	3.514828e-02	2.704056e-04	1.902016e-04
443           	2.443468e-04	1.228358e-03	1.284514e-03	3.505117e-02	2.696552e-04	1.886771e-04
444           	2.434147e-04	1.233556e-03	1.278554e-03	3.500467e-02	2.691997e-04	1.884752e-04
445           	2.440345e-04	1.224285e-03	1.269762e-03	3.467936e-02	2.683900e-04	1.843698e-04
446           	2.424750e-04	1.213405e-03	1.268489e-03	3.559546e-02	2.671721e-04	1.868523e-04
447           	2.428925e-04	1.220349e-03	1.263627e-03	3.525948e-02	2.668845e-04	1.881537e-04
448           	2.409064e-04	1.211285e-03	1.247788e-03	3.557165e-02	2.673253e-04	1.890737e-04
449           	2.409533e-04	1.209430e-03	1.245557e-03	3.583799e-02	2.671960e-04	1.874956e-04
450           	2.395015e-04	1.212072e-03	1.244184e-03	3.637184e-02	2.677676e-04	1.896574e-04
451           	2.403671e-04	1.226875e-03	1.243398e-03	3.536051e-02	2.681244e-04	1.880567e-04
452           	2.394510e-04	1.229898e-03	1.245546e-03	3.503845e-02	2.679860e-04	1.910687e-04
453           	2.393986e-04	1.237977e-03	1.248580e-03	3.539697e-02	2.673587e-04	1.884583e-04
454           	2.386403e-04	1.239268e-03	1.261962e-03	3.484080e-02	2.670103e-04	1.910463e-04
455           	2.398209e-04	1.241508e-03	1.262882e-03	3.577453e-02	2.683346e-04	1.898327e-04
456           	2.394518e-04	1.232885e-03	1.261402e-03	3.603904e-02	2.677203e-04	1.919481e-04
457           	2.393230e-04	1.240149e-03	1.258638e-03	3.658134e-02	2.690652e-04	1.909844e-04
458           	2.386932e-04	1.236952e-03	1.254667e-03	3.553568e-02	2.680230e-04	1.929628e-04
459           	2.383456e-04	1.224778e-03	1.263770e-03	3.680247e-02	2.679964e-04	1.886825e-04
460           	2.371988e-04	1.229947e-03	1.261463e-03	3.628816e-02	2.663796e-04	1.915410e-04
461           	2.366030e-04	1.216542e-03	1.264061e-03	3.569992e-02	2.661834e-04	1.884189e-04
462           	2.353530e-04	1.225333e-03	1.263886e-03	3.690732e-02	2.661269e-04	1.897590e-04
463           	2.366188e-04	1.229415e-03	1.278569e-03	3.549807e-02	2.668845e-04	1.875220e-04
464           	2.351020e-04	1.226150e-03	1.273307e-03	3.658543e-02	2.661557e-04	1.901243e-04
465           	2.354288e-04	1.234902e-03	1.293882e-03	3.597856e-02	2.673490e-04	1.889941e-04
466           	2.349630e-04	1.240300e-03	1.280961e-03	3.683235e-02	2.670567e-04	1.930134e-04
467           	2.352946e-04	1.250128e-03	1.281904e-03	3.700976e-02	2.685375e-04	1.902756e-04
468           	2.347389e-04	1.249808e-03	1.276346e-03	3.601173e-02	2.668373e-04	1.933918e-04
469           	2.353186e-04	1.240809e-03	1.284838e-03	3.572286e-02	2.669471e-04	1.897070e-04
470           	2.323586e-04	1.245951e-03	1.267242e-03	3.750069e-02	2.663127e-04	1.902760e-04
471           	2.321636e-04	1.246755e-03	1.271944e-03	3.807153e-02	2.671678e-04	1.883051e-04
472           	2.313804e-04	1.251780e-03	1.251656e-03	3.668181e-02	2.673201e-04	1.887764e-04
473           	2.305414e-04	1.239351e-03	1.254416e-03	3.792727e-02	2.681541e-04	1.879556e-04
474           	2.302304e-04	1.241503e-03	1.250211e-03	3.900316e-02	2.683053e-04	1.884784e-04
475           	2.303058e-04	1.240608e-03	1.255887e-03	3.870552e-02	2.673564e-04	1.892235e-04
476           	2.296088e-04	1.242289e-03	1.255353e-03	3.864560e-02	2.683402e-04	1.916677e-04
477           	2.295601e-04	1.248638e-03	1.262078e-03	3.707791e-02	2.674013e-04	1.931812e-04
478           	2.284063e-04	1.248472e-03	1.270990e-03	3.895075e-02	2.686640e-04	1.941735e-04
479           	2.291862e-04	1.259030e-03	1.295423e-03	3.911075e-02	2.678877e-04	1.959781e-04
480           	2.279930e-04	1.259824e-03	1.302523e-03	3.916337e-02	2.692919e-04	1.954425e-04
481           	2.287414e-04	1.267785e-03	1.316249e-03	3.788143e-02	2.694327e-04	1.959963e-04
482           	2.271962e-04	1.257993e-03	1.317239e-03	3.813205e-02	2.698441e-04	1.940948e-04
483           	2.274205e-04	1.260785e-03	1.332722e-03	3.767749e-02	2.683138e-04	1.941277e-04
484           	2.260470e-04	1.254335e-03	1.309105e-03	3.840143e-02	2.674347e-04	1.932615e-04
485           	2.249583e-04	1.242666e-03	1.295434e-03	3.862583e-02	2.659324e-04	1.898049e-04
486           	2.240804e-04	1.242630e-03	1.299464e-03	3.917298e-02	2.658983e-04	1.929197e-04
487           	2.238888e-04	1.240193e-03	1.291471e-03	3.885551e-02	2.648496e-04	1.884070e-04
488           	2.233777e-04	1.229021e-03	1.291447e-03	3.867858e-02	2.672699e-04	1.891955e-04
489           	2.228839e-04	1.232871e-03	1.283425e-03	3.916959e-02	2.664686e-04	1.861787e-04
490           	2.235307e-04	1.246665e-03	1.300875e-03	3.931562e-02	2.678842e-04	1.896253e-04
491           	2.245074e-04	1.250562e-03	1.286491e-03	3.823318e-02	2.661204e-04	1.861094e-04
492           	2.245077e-04	1.252584e-03	1.283410e-03	3.722674e-02	2.665257e-04	1.914103e-04
493           	2.242148e-04	1.263896e-03	1.285019e-03	3.836622e-02	2.648957e-04	1.875273e-04
494           	2.247329e-04	1.268028e-03	1.297110e-03	3.812608e-02	2.653054e-04	1.907282e-04
495           	2.258860e-04	1.278825e-03	1.304424e-03	3.902269e-02	2.659596e-04	1.889261e-04
496           	2.268981e-04	1.279038e-03	1.322947e-03	3.951594e-02	2.663010e-04	1.939075e-04
497           	2.251123e-04	1.268130e-03	1.321209e-03	3.775565e-02	2.670728e-04	1.876979e-04
498           	2.235997e-04	1.259375e-03	1.310174e-03	3.865114e-02	2.652979e-04	1.939425e-04
499           	2.222450e-04	1.256765e-03	1.309085e-03	3.877416e-02	2.678758e-04	1.916474e-04
500           	2.224208e-04	1.271908e-03	1.313428e-03	3.885841e-02	2.655278e-04	1.970479e-04
